created_at,author_id,geo,text
2022-06-01 18:48:22+00:00,1349149096909668363,,Tune in as I meet with major infant formula manufacturers to discuss our work to accelerate infant formula production and ramp up imports of formula through Operation Fly Formula. https://t.co/UtTP6owcRq
2022-06-01 17:52:32+00:00,1349149096909668363,,"Thanks for stopping by the White House, @bts_bighit. https://t.co/JRE3Firnbc"
2022-06-01 15:06:33+00:00,1349149096909668363,,Join us for the U.S. Coast Guard change of command ceremony. https://t.co/Hd7NF8gAaV
2022-06-01 13:36:53+00:00,1349149096909668363,,"During Pride Month, we honor the resilience of LGBTQI+ people who are fighting to live authentically and freely. We reaffirm that LGBTQI+ rights are human rights. And we recommit to delivering protections, safety, and equality so everyone can realize the full promise of America."
2022-06-01 03:40:16+00:00,1349149096909668363,,"It was great to meet with you, @bts_bighit. Thanks for all you’re doing to raise awareness around the rise in anti-Asian hate crimes and discrimination.

I look forward to sharing more of our conversation soon. https://t.co/LnczTpT2aL"
2022-05-31 22:39:20+00:00,1349149096909668363,,"It was an honor to welcome Prime Minister Jacinda Ardern of New Zealand to the White House for a bilateral meeting. We worked to advance the U.S.-New Zealand partnership and our shared vision of a free, open, and resilient Indo-Pacific. https://t.co/xUbENyBTM1"
2022-05-31 18:15:18+00:00,1349149096909668363,,"To every Gold Star Family — to every survivor — this grateful nation owes you.
 
We can never repay your sacrifice, but we will never stop trying. And we will never fail in our duty to remember. https://t.co/WYe78s7nhY"
2022-05-31 14:30:59+00:00,1349149096909668363,,"The most important thing we can do now to transition from rapid recovery to stable, steady growth is to bring inflation down. That is why I have made tackling inflation my top economic priority. My plan has three parts — read more about them here: https://t.co/5IUu0qbCaa"
2022-05-30 21:50:04+00:00,1349149096909668363,,"Our memorial to fallen heroes must not be just a day when we pause and pray.
 
It must be a daily commitment to act. To come together. To be worthy of the price that was paid. https://t.co/YV2zs4e1tf"
2022-05-30 18:46:48+00:00,1349149096909668363,,"As we honor our fallen heroes, we are grateful for the future they made possible for us and rededicate ourselves to seeking enduring peace. They gave their lives for our country, and they live forever in our hearts — forever proud, forever honorable, and forever American."
2022-05-30 16:25:05+00:00,1349149096909668363,,Join us as we honor our fallen heroes at the 154th National Memorial Day Observance. https://t.co/tw700jSFFE
2022-05-30 13:46:11+00:00,1349149096909668363,,"On Memorial Day, we remember the patriots who gave their lives in the service of America, in the service of freedom, and in the service of justice. We are free because they were brave, and we live by the light of the flame of liberty they kept burning. We are forever grateful."
2022-05-29 22:33:56+00:00,1349149096909668363,,"To everyone impacted by the horrific elementary school shooting in Uvalde, Texas: We grieve with you. We pray with you. We stand with you. And we’re committed to turning this pain into action. https://t.co/TIYjdmfKVP"
2022-05-28 14:15:46+00:00,1349149096909668363,,Tune in as I deliver the Commencement address for the University of Delaware. https://t.co/hYAmG4MLQT
2022-05-28 13:38:06+00:00,1349149096909668363,,"My Administration is invoking the Defense Production Act for the third time in less than a week to help Cargill deliver the materials needed to maximize production of infant formula.

We’re using the full power of the federal government to ramp up production and increase supply."
2022-05-28 00:30:07+00:00,1349149096909668363,,It was an honor to speak at the United States Naval Academy graduation and commissioning ceremony. To the class of 2022: Our nation is placing in you great trust and faith. But this great academy has prepared you to face every challenge and overcome any obstacle. You are ready. https://t.co/mEqD9tlTAb
2022-05-27 18:23:45+00:00,1349149096909668363,,"I’ve got more good news: 27.5 million bottles of safe infant formula manufactured by Bubs Australia are coming to the United States.
 
We’re doing everything in our power to get more formula on shelves as soon as possible."
2022-05-27 17:34:49+00:00,1349149096909668363,,"This morning’s decline in inflation is a sign of progress. The report showed annual inflation declining and average monthly core inflation at around 4% at an annual rate, down from around 6%. 
 
But there is more work to do and tackling inflation is my top economic priority."
2022-05-27 14:35:17+00:00,1349149096909668363,,Tune in as I address the United States Naval Academy’s Class of 2022 graduation and commissioning ceremony. https://t.co/tp5scdwgNh
2022-05-26 23:02:21+00:00,1349149096909668363,,"Yesterday, I signed an Executive Order that delivers the most significant police reform in decades.

Here are some key parts: https://t.co/fGHGZRrxMW"
2022-05-26 21:45:01+00:00,1349149096909668363,,"Congress needs to pass universal background checks, ban assault weapons and high-capacity magazines, and confirm Steve Dettelbach as head of the ATF.
 
It’s time to turn this pain into action."
2022-05-26 20:50:14+00:00,1349149096909668363,,"On Sunday, Jill and I are traveling to Uvalde, Texas to grieve with the community that lost 21 lives in the horrific elementary school shooting."
2022-05-26 17:35:43+00:00,1349149096909668363,,"Mental health is health. To everyone who is struggling, know you are not alone.

For Mental Health Awareness Month, we sat down to discuss how we can wipe out the stigma and expand access to care to ensure everyone can get the support they need. https://t.co/GPafd4et5n"
2022-05-26 00:04:32+00:00,1349149096909668363,,"This Executive Order includes reforms that have long been talked about, but we’re finally implementing. By building public trust, we can strengthen public safety and we can more effectively fight rising crime in our communities.

We can show what’s possible when we work together."
2022-05-26 00:04:32+00:00,1349149096909668363,,"Second, the Executive Order raises standards. It bans chokeholds, restricts no-knock entries, and tightens use-of-force policies to emphasize de-escalation and the duty to intervene.
 
Third, it modernizes policing with new tools to screen and vet officers."
2022-05-26 00:04:32+00:00,1349149096909668363,,"First, the Executive Order promotes accountability. It creates a new national law enforcement accountability database, strengthens pattern and practice investigations, and mandates all federal agents wear and activate body cameras while on patrol."
