created_at,text
2022-05-25 13:15:49+00:00,Like most progressives I think we should have stricter gun control laws. However that's not feasible at this moment in time with the make-up of SCOTUS anything done to actually restrict access would be struck down. It's nowhere near the ideal state of things.
2022-05-25 12:16:56+00:00,"   Youre an idiot. Hows that gun control working in Chicago, moron??"
2022-05-25 11:48:37+00:00,  Your completely mixing two entirely different subjects. Not sure if on purpose or if your misinformed. Oakland wasnt about gun control. 
2022-05-25 09:58:06+00:00,"Holes Hoops and Hope extends their prayers and condolences to the community of Uvalde and the 22 victims lives lost. CEO Michael Lewis states "" Kids must be safe at school and teachers.The political nature has to stop. Action must be now on gun control"" "
2022-05-25 09:26:45+00:00,Ahh the good ol mental health excuse and not gun control 
2022-05-25 06:50:19+00:00,bro the US real life trash af &amp; i hate it here they dont do shit for us!!!! wanna focus on all these abortion bans while WE NEED SOME GUN CONTROL PLEASE so disappointed this shit is repetitive and nothing is being done to change it
2022-05-25 06:02:18+00:00,"This is why I now go hard for black folks rights, womans rights, LGBTQ rights, gun control, toppling white supremacy etc because being numb to this shit does nothing"
2022-05-25 05:37:39+00:00,Wtf does being illegal have to do with gun control? Yall (craccuhs) made it possible for anyone in Texas to have a gun. 
2022-05-25 05:12:46+00:00,"Sick of politicians singling out their own agenda on what is clearly an array of larger problems that we face.  Gun control is a failed pipe dream, but how many more children have to die before school safety is taken seriously? "
2022-05-25 05:10:46+00:00,Random thought what if were having a mental health crisis and not a gun control one
2022-05-25 04:56:08+00:00, Well gun control will fail again because taking rights to bear arms away is going to send this country into a violent second Civil War.
2022-05-25 04:50:04+00:00,"Everybody is so focus about gun control. with or without it, aint shit gonna change!!!!"
2022-05-25 04:44:51+00:00,"It's ironic how the far-left reacts to mass shootings. They always say, 'It's time for gun control.' It's comical how they blame a gun, not the person behind the gun, for a mass shooting. Yet these same leftists themselves are always well-protected by armed security detail."
2022-05-25 03:32:35+00:00,Never forget the only time the NRA called for gun control was when the Black Panther party was armed
2022-05-25 03:22:08+00:00, How many common sense gun control laws have you voted against?
2022-05-25 02:50:54+00:00,"For Joe Manchin it is 
over human life while for Ted Cruzs of the world gun  has more protection than living breathing victims 
"
2022-05-25 02:36:04+00:00,"Why do all of these moral cowards block you when you ask what gun control laws would have stopped todays tragedy?? 
If you go full politics and try to take my rights away, you better have a damned good reason. "
2022-05-25 02:07:35+00:00,"ARM, TRAIN AND PREPARE TEACHERS. not gun control? Nah, train them and prepare them to sacrifice their life rather than fix the problem .. please this cannot be the ONLY solution  "
2022-05-25 02:01:19+00:00," America has 4 president assassinations, 1 president assassination attempt, and at least two civil rights leaders assassinations. Theres 27 school shootings this year alone. Reason theres no gun control after all of this is taking away rights to bear arms is Civil War II. "
2022-05-25 01:34:28+00:00,To save our children we must vote out the Republican party so we can have gun control!     
2022-05-25 01:26:01+00:00, Those are greatest moments in American history where gun control should have take place. Trying to take right to bear arms from American citizens is going to start a second Civil War. If that happens The Purge would be a understatement. 
2022-05-25 01:20:27+00:00,"We NEED gun control in this damn country, we NEED better people in our Government. I myself always liked guns, they look cool, they feel cool to use, but I know they are dangerous to have around."
2022-05-25 00:42:07+00:00,"I'm asking ALL the prayer warriors to pray with me before you go to bed that gun control be CONTROLLED &amp; God remove them from ALL evil doers.
Pray! Pray! Pray!
This could happen anywhere!
"
2022-05-25 00:33:38+00:00," if you mean that  support ending the filibuster so sensible gun control measures can be passed. Otherwise your words are not just hollow, they are cruel &amp; heartless. "
2022-05-25 00:27:31+00:00,"How the fuck do you want people to have children when this country/world is so fucking disgusting???? Make this country safer for the children yall fucking pieces of shit.. Idgaf, Republicans, Democrats, etc. WE NEED GUN CONTROL!!!"
2022-05-25 00:07:30+00:00,Now that kids have been affected again ppl wanna talk about gun control. But yall didnt care about that buffalo shooting!
2022-05-25 00:02:51+00:00,Gun control doesnt work. 
2022-05-24 23:47:35+00:00,"physically/physiologically process the news today.
I am a gun owner. And after I had my baby, I practiced gun control in my own house, getting rid of around 4 guns. I didnt want all those guns in a house with a child.
I still have a few guns but they are LOCKED AWAY.
As a"
2022-05-24 23:12:22+00:00,  That is the ultimate problem with stricter gun control laws - only law abiding people follow them.  The crazys just ignore them and then there are less good people with guns! 
2022-05-24 22:56:19+00:00,"Babies were murdered in school, but the shooter was brown, so this will turn into an immigrants/POCs are violent criminals argument and gun control will get sidelined (again). My heart is so fcking broken rn, this is a horrific nightmare and nothing will ever change."
2022-05-24 22:52:52+00:00,"   Where is the explanation of where he got the gun? Which gun control law would have stopped this? 

Sit your ass down, clown."
2022-05-24 22:33:29+00:00,"We don't want ""thoughts &amp; prayers"". We want GUN CONTROL!!!"
2022-05-24 22:13:12+00:00, Here we go with the gun control bullshit. Criminals dont care about ur fucking laws dumbasses!
2022-05-24 21:27:54+00:00,"When will we say ENOUGH and actually implement REAL gun control???

Its just gonna get worse here in Texas since permitless carry went into law last year smh"
2022-05-24 20:55:24+00:00,"So let's analyze this... who did we vote for on the local levels to express our displeasure about gun control? Also who voted for and against it? What are their stances?

We can start there to figure out a solution"
2022-05-24 20:42:35+00:00,There has to be a gun control now !!
2022-05-21 02:11:23+00:00,  Hey Allen you are aware New York is a Gun Control Shangri-la. Gun Control only creates a killing field.
2022-05-21 02:02:44+00:00,  No they are fed up with Disarmament and in many states have passed constutional carry. Gun Control kills! Just look what happened in Buffalo.
2022-05-19 15:33:30+00:00, You and the other Anti-2nds are the only ones raising the issue of race not the NRA. Which is not surprising in light of the racist origins of gun control. If you are for it then you are the racists not the NRA.
2022-05-17 18:59:45+00:00,If I get killed by gun violence please politicize my death in favor of gun control. Please and thanks. 
2022-05-17 18:53:00+00:00,I personally dont give TWO OR THREE FLYING FUCKS about UFOs we need to talk about gun control.
2022-05-17 08:48:14+00:00,"CBS Repeats Lie About Number of Mass Shootings, Pushes Gun Control (via ) "
2022-05-16 21:16:54+00:00,gun control a distraction.
2022-05-16 19:47:01+00:00,"Gun control poisoning our children minds, it's too late for Replacement theories the US is 246 years old bouncing on immigration! Simple concept!"
2022-05-16 15:30:02+00:00,Thoughts and Prayers is palliative bullshit put out by the Republicans as an alternative to effective gun control legislation. The money that they take from the NRA is blood money. 
2022-05-16 08:24:53+00:00," But the Magats are out blaming everyone except themselves. 
Gun control is what slows this train wreck, not blaming parents for what communities have failed to do. I am sure they aren't perfect, but flawed as all parents are. The fault lies with lack of weapons control."
2022-05-16 08:14:35+00:00,"  Yet you accuse with no knowledge. You don't know what they knew or did. Maybe they are not as smart as you. Do you look out for your neighbor's children? 
Stop with the hate. Hate is the problem. You cannot control everything. Gun control is an issue, but hate is bigger."
2022-05-15 23:19:19+00:00,The intended consequences of not having gun control in this country 
2022-05-13 20:39:20+00:00,  You were bought for the hollow promise of gun control.
2022-05-10 23:38:35+00:00,  And no! I'm not 4 gun control. I'm 4 government having LESS control!
2022-05-04 21:50:38+00:00,"     Apparently the nation hasn't evolved much if you are for banning firearms from POC. Some of the first gun control laws were written against minorities. All gun laws are racist, if that's what you stand for then just say it."
2022-05-03 23:52:13+00:00,     Dismantle White supremacy . Support Constitutional Carry and dismantle gun control .
2022-04-29 23:06:58+00:00,"If these ""pro-lifers"" were really pro-life they would back reasonable gun control measures but they aren't. They don't care about children once they are born. "
2022-04-29 23:01:37+00:00,I sure wish pro-lifers would support reasonable gun control but they aren't interested in children after they are born. 
